ID,Gender,Occupation,CompanySize,HouseHold,Experience,Transportation,Remote,RecommendRemote,RemotePreffered,Productivity,Age,Sector,CompanyAllowChoice,CompanyCommonRemote,CompanySupportRemote,WorkingHoursDiff,PersonalHoursDiff,DomesticHoursDiff,CommuteHoursDiff,BiggestChallenge,BiggestBenefit
363,Female,Manager,1-19,Single,More than 5 years,Regional,Remote,yes,Hybrid,Increased,61,Tertiary quinary,yes,yes,yes,0,100,100,100,Isolation,Work-life balance
364,Male,Professional,200+,Couple,Between 1 and 5 years,Metro,Remote,yes,Remote,Increased,25,Tertiary quinary,yes,yes,yes,100,100,75,75,Self management,Relationships
365,Female,Professional,1-19,Couple+children,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Dropped,37,Tertiary quaternary,yes,yes,yes,-42.86,33.33,100,100,Working conditions,Work-life balance
366,Male,Manager,1-19,Couple+children,More than 5 years,Metro,Hybrid,hard to say,Hybrid,Dropped,52,Tertiary quinary,yes,hard to say,yes,25,-33.33,0,0,Motivation,Work-life balance
367,Male,Manager,1-19,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Same level,54,Tertiary quinary,hard to say,yes,yes,-11.110000000000001,33.33,-20,-20,Technical,Work-life balance
370,Female,Professional,1-19,Other,More than 5 years,Regional,Hybrid,yes,Hybrid,Same level,56,Tertiary quinary,hard to say,hard to say,hard to say,0,50,0,0,Technical,Professional
371,Male,Professional,20-199,Couple+children,More than 5 years,Metro,Remote,yes,Hybrid,Same level,51,Tertiary quaternary,yes,yes,yes,11.76,33.33,100,100,Isolation,Work-life balance
372,Male,Other,1-19,Couple,Between 1 and 5 years,Metro,Remote,yes,Remote,Increased,39,Primary and Other,yes,yes,yes,0,0,0,0,Company's policy,Relationships
373,Female,Clerk,200+,Couple,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Increased,50,Tertiary quinary,no,no,no,14.29,100,0,0,Impossible tasks,Work-life balance
375,Male,Clerk,200+,Couple+children,Between 1 and 5 years,Regional,Remote,hard to say,Hybrid,Dropped,63,Tertiary quinary,yes,hard to say,yes,0,0,0,0,Motivation,Less expenses
376,Male,Manager,20-199,Couple,More than 5 years,Regional,Hybrid,hard to say,Hybrid,Dropped,54,Tertiary quaternary,hard to say,yes,hard to say,-16.669999999999998,0,100,100,Collaboration,Work-life balance
377,Male,Professional,200+,Couple+children,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Increased,51,Tertiary quaternary,yes,yes,yes,6.25,0,0,0,Motivation,Less expenses
378,Female,Manager,20-199,Other,More than 5 years,Metro,Remote,yes,Hybrid,Increased,31,Tertiary quinary,yes,yes,yes,14.29,50,0,0,Technical,Less expenses
380,Male,Manager,1-19,Couple,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Increased,35,Tertiary quinary,yes,yes,yes,0,100,100,100,Working conditions,Professional
381,Male,Professional,1-19,Other,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,32,Tertiary quinary,no,yes,no,-22.220000000000002,33.33,100,100,Collaboration,Professional
382,Female,Professional,20-199,Couple,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,46,Tertiary quinary,yes,yes,yes,0,100,100,100,Technical,Less expenses
383,Male,Professional,200+,Other,More than 5 years,Metro,Remote,yes,Hybrid,Increased,48,Tertiary quaternary,yes,yes,hard to say,0,0,0,0,Isolation,Work-life balance
385,Male,Manager,200+,Single,More than 5 years,Metro,Almost onsite,yes,Hybrid,Dropped,54,Tertiary quinary,yes,yes,yes,0,0,0,0,Company's policy,Work-life balance
386,Male,Professional,1-19,Couple,More than 5 years,Metro,Remote,yes,Hybrid,Increased,64,Tertiary quaternary,yes,yes,yes,11.110000000000001,33.33,0,0,Collaboration,Professional
387,Female,Professional,200+,Other,Between 6 and 12 months,Metro,Remote,yes,Hybrid,Increased,31,Tertiary quinary,yes,yes,yes,0,0,100,100,Isolation,Professional
388,Female,Professional,200+,Couple+children,More than 5 years,Metro,Remote,yes,Hybrid,Increased,46,Tertiary quinary,hard to say,yes,yes,22.220000000000002,0,-16.669999999999998,-16.669999999999998,Isolation,Professional
389,Female,Professional,200+,Couple,More than 5 years,Metro,Remote,yes,Hybrid,Increased,52,Tertiary quinary,yes,hard to say,yes,0,0,33.33,33.33,Isolation,Professional
390,Female,Clerk,200+,Couple+children,More than 5 years,Metro,Remote,yes,Hybrid,Increased,54,Tertiary quaternary,yes,yes,yes,13.33,25,50,50,Technical,Less expenses
391,Male,Professional,1-19,Couple,More than 5 years,Metro,Hybrid,no,Hybrid,Dropped,60,Tertiary quinary,no,no,no,-12.5,66.67,0,0,Collaboration,Professional
392,Female,Manager,200+,Couple,More than 5 years,Metro,Hybrid,yes,Hybrid,Same level,57,Tertiary quinary,yes,yes,yes,7.140000000000001,66.67,0,0,Working conditions,Professional
393,Female,Professional,200+,Couple+children,More than 5 years,Metro,Hybrid,hard to say,Hybrid,Same level,37,Tertiary quaternary,yes,yes,yes,0,50,0,0,Motivation,Less expenses
394,Male,Professional,1-19,Single,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Increased,63,Tertiary quaternary,yes,yes,yes,33.33,0,0,0,Isolation,Professional
395,Male,Other,200+,Couple,More than 5 years,Metro,Hybrid,yes,Hybrid,Same level,35,Tertiary quaternary,yes,yes,yes,0,100,100,100,Isolation,Work-life balance
396,Male,Professional,1-19,Couple,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Increased,59,Tertiary quinary,yes,yes,yes,12.5,100,0,0,Isolation,Professional
397,Male,Other,20-199,Other,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Increased,32,Tertiary quaternary,yes,yes,yes,12.5,33.33,0,0,Motivation,Work-life balance
398,Male,Professional,200+,Couple+children,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Increased,24,Tertiary quaternary,yes,yes,no,0,37.5,100,100,Collaboration,Less expenses
400,Female,Professional,1-19,Single,More than 5 years,Regional,Remote,yes,Remote,Same level,43,Tertiary quaternary,yes,yes,yes,0,0,0,0,Motivation,Less expenses
402,Female,Professional,1-19,Couple,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Increased,52,Tertiary quinary,yes,yes,yes,0,20,0,0,Technical,Professional
403,Male,Professional,20-199,Couple+children,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Increased,38,Tertiary quaternary,yes,yes,yes,0,-50,50,50,Technical,Work-life balance
404,Female,Clerk,1-19,Couple+children,More than 5 years,Metro,Hybrid,yes,Onsite,Same level,50,Tertiary quinary,no,no,hard to say,-28.57,66.67,0,0,Technical,Less expenses
406,Female,Clerk,1-19,Couple,More than 5 years,Metro,Remote,yes,Remote,Increased,49,Tertiary quinary,yes,yes,yes,0,50,0,0,Technical,Work-life balance
407,Female,Professional,200+,Single,Between 6 and 12 months,Metro,Hybrid,yes,Hybrid,Increased,35,Tertiary quinary,hard to say,yes,yes,0,20,100,100,Working conditions,Work-life balance
408,Female,Professional,200+,Couple,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Increased,37,Tertiary quaternary,yes,yes,yes,0,50,0,0,Collaboration,Professional
409,Male,Manager,1-19,Other,More than 5 years,Metro,Hybrid,no,Onsite,Dropped,50,Primary and Other,no,no,no,0,0,0,0,Working conditions,Work-life balance
410,Female,Professional,200+,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Same level,49,Tertiary quinary,no,yes,hard to say,33.33,100,33.33,33.33,Impossible tasks,Mental wellbeing
412,Male,Professional,200+,Couple+children,More than 5 years,Metro,Hybrid,hard to say,Hybrid,Same level,51,Secondary,yes,yes,hard to say,5.56,10,20,20,Motivation,Professional
413,Female,Clerk,20-199,Single,More than 5 years,Metro,Remote,hard to say,Hybrid,Increased,39,Primary and Other,yes,yes,yes,0,33.33,0,0,Technical,Work-life balance
414,Female,Manager,200+,Couple,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,63,Tertiary quinary,yes,yes,yes,12.5,0,25,25,Collaboration,Work-life balance
416,Male,Professional,20-199,Other,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Same level,53,Tertiary quaternary,no,yes,no,40,-28.57,0,0,Company's policy,Work-life balance
417,Male,Manager,20-199,Couple,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,36,Tertiary quaternary,hard to say,yes,yes,12.5,33.33,100,100,Working conditions,Job satisfaction
418,Female,Professional,1-19,Couple+children,Between 1 and 5 years,Metro,Remote,yes,Onsite,Dropped,20,Tertiary quinary,no,yes,no,0,25,0,0,Technical,Less expenses
419,Female,Manager,1-19,Couple+children,Between 1 and 5 years,Metro,Remote,yes,Remote,Same level,48,Tertiary quinary,hard to say,hard to say,hard to say,0,0,0,0,Technical,Work-life balance
420,Male,Professional,200+,Single,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Increased,26,Tertiary quaternary,no,yes,no,33.33,0,0,0,Technical,Professional
421,Female,Manager,200+,Other,More than 5 years,Metro,Remote,yes,Hybrid,Dropped,48,Tertiary quinary,yes,yes,yes,0,0,0,0,Collaboration,Work-life balance
422,Female,Clerk,200+,Couple+children,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Increased,61,Tertiary quinary,hard to say,yes,no,0,0,0,0,Company's policy,Professional
424,Female,Professional,1-19,Couple,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Same level,42,Tertiary quaternary,yes,yes,yes,-6.67,66.67,0,0,Motivation,Work-life balance
425,Male,Manager,200+,Single,More than 5 years,Metro,Remote,yes,Hybrid,Same level,41,Tertiary quaternary,no,yes,no,0,100,0,0,Self management,Professional
426,Male,Professional,200+,Other,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Same level,46,Tertiary quinary,yes,yes,no,0,20,0,0,Company's policy,Mental wellbeing
428,Male,Professional,200+,Couple+children,More than 5 years,Metro,Remote,hard to say,Remote,Dropped,40,Tertiary quaternary,yes,no,hard to say,-25,66.67,0,0,Collaboration,Work-life balance
429,Female,Professional,200+,Couple,More than 5 years,Metro,Remote,yes,Hybrid,Increased,62,Tertiary quaternary,yes,yes,yes,14.29,0,0,0,Technical,Professional
430,Male,Manager,200+,Couple,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,51,Tertiary quaternary,yes,yes,yes,10,-22.220000000000002,-100,-100,Collaboration,Less expenses
431,Female,Other,200+,Couple,Between 6 and 12 months,Metro,Remote,yes,Remote,Same level,29,Tertiary quinary,hard to say,yes,hard to say,0,20,0,0,Caring,Professional
432,Male,Manager,200+,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Dropped,33,Tertiary quaternary,hard to say,yes,hard to say,0,50,0,0,Technical,Job satisfaction
433,Male,Manager,200+,Couple+children,Between 1 and 5 years,Regional,Hybrid,yes,Hybrid,Same level,35,Primary and Other,hard to say,yes,yes,-5.26,25,0,0,Caring,Work-life balance
434,Female,Clerk,200+,Couple,More than 5 years,Regional,Remote,hard to say,Onsite,Same level,59,Tertiary quinary,no,hard to say,no,0,0,0,0,Isolation,Work-life balance
436,Female,Clerk,20-199,Other,More than 5 years,Regional,Remote,yes,Remote,Increased,34,Tertiary quaternary,yes,yes,yes,25,-33.33,0,0,Isolation,Professional
437,Male,Other,20-199,Couple+children,More than 5 years,Metro,Remote,no,Almost onsite,Dropped,64,Tertiary quaternary,yes,yes,yes,14.29,0,0,0,Working conditions,Less expenses
438,Male,Manager,1-19,Couple,Between 6 and 12 months,Metro,Hybrid,yes,Remote,Increased,52,Tertiary quaternary,yes,yes,yes,14.29,75,0,0,Collaboration,Work-life balance
440,Female,Professional,200+,Single,Between 1 and 5 years,Metro,Hybrid,hard to say,Hybrid,Dropped,36,Tertiary quaternary,hard to say,yes,yes,0,0,0,0,Impossible tasks,Professional
441,Male,Professional,200+,Single,Between 6 and 12 months,Metro,Hybrid,yes,Hybrid,Same level,53,Tertiary quinary,yes,yes,yes,0,25,0,0,Collaboration,Professional
442,Male,Professional,20-199,Couple,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Same level,56,Tertiary quaternary,no,yes,no,12.5,50,100,100,Collaboration,Work-life balance
443,Female,Other,20-199,Couple,More than 5 years,Metro,Remote,yes,Remote,Increased,57,Primary and Other,yes,yes,hard to say,14.29,0,100,100,Technical,Less expenses
444,Male,Manager,20-199,Couple+children,More than 5 years,Metro,Remote,yes,Hybrid,Increased,59,Tertiary quaternary,yes,yes,yes,12.5,66.67,0,0,Isolation,Work-life balance
446,Male,Professional,20-199,Couple,Between 1 and 5 years,Regional,Almost onsite,no,Almost onsite,Same level,26,Tertiary quaternary,no,no,no,0,0,0,0,Technical,Work-life balance
447,Male,Professional,20-199,Single,More than 5 years,Metro,Remote,hard to say,Hybrid,Increased,42,Tertiary quinary,hard to say,no,hard to say,0,28.57,25,25,Working conditions,Professional
448,Female,Manager,20-199,Couple,Between 1 and 5 years,Metro,Hybrid,hard to say,Hybrid,Increased,54,Secondary,yes,yes,yes,12.5,0,0,0,Isolation,Professional
449,Male,Manager,200+,Couple,More than 5 years,Metro,Remote,yes,Hybrid,Increased,55,Secondary,yes,no,hard to say,33.33,100,100,100,Technical,Work-life balance
450,Male,Manager,200+,Couple,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Increased,55,Tertiary quinary,yes,yes,yes,33.33,-50,-33.33,-33.33,Technical,Work-life balance
451,Female,Professional,200+,Couple,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,60,Tertiary quinary,yes,yes,yes,14.29,0,0,0,Technical,Work-life balance
452,Male,Manager,200+,Couple,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Same level,32,Tertiary quinary,yes,yes,hard to say,0,25,100,100,Company's policy,Less expenses
453,Female,Manager,200+,Couple,More than 5 years,Metro,Hybrid,yes,Hybrid,Same level,62,Primary and Other,yes,yes,yes,11.110000000000001,0,0,0,Technical,Work-life balance
454,Female,Clerk,1-19,Single,Between 6 and 12 months,Regional,Remote,hard to say,Hybrid,Same level,61,Tertiary quaternary,yes,yes,yes,0,0,33.33,33.33,Isolation,Work-life balance
455,Male,Other,200+,Couple,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Increased,61,Tertiary quinary,yes,yes,yes,0,75,0,0,Company's policy,Relationships
456,Female,Manager,20-199,Other,Between 6 and 12 months,Metro,Hybrid,no,Hybrid,Increased,57,Secondary,yes,hard to say,yes,14.29,100,-66.67,-66.67,Caring,Professional
457,Female,Professional,200+,Couple+children,Between 1 and 5 years,Metro,Hybrid,yes,Onsite,Same level,24,Tertiary quinary,yes,yes,no,0,0,0,0,Technical,Relationships
458,Male,Professional,1-19,Couple,Between 6 and 12 months,Metro,Hybrid,hard to say,Hybrid,Same level,36,Tertiary quaternary,yes,no,yes,12.5,33.33,50,50,Working conditions,Less expenses
459,Male,Manager,200+,Couple,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Increased,61,Tertiary quaternary,yes,yes,yes,11.110000000000001,50,100,100,Working conditions,Work-life balance
460,Male,Clerk,200+,Couple,More than 5 years,Regional,Hybrid,yes,Hybrid,Increased,59,Primary and Other,hard to say,yes,no,6.67,50,50,50,Impossible tasks,Job satisfaction
461,Male,Clerk,200+,Couple,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Increased,40,Tertiary quinary,no,no,no,0,33.33,0,0,Company's policy,Mental wellbeing
462,Female,Other,1-19,Couple,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Dropped,48,Tertiary quinary,no,no,no,-12.5,100,40,40,Working conditions,Less expenses
463,Male,Other,200+,Couple,More than 5 years,Metro,Remote,yes,Hybrid,Same level,55,Tertiary quaternary,yes,yes,yes,12.5,-33.33,0,0,Technical,Work-life balance
464,Male,Manager,200+,Couple+children,Between 6 and 12 months,Metro,Remote,yes,Almost onsite,Dropped,50,Tertiary quinary,yes,yes,yes,11.110000000000001,-50,-80,-80,Caring,Professional
465,Male,Manager,1-19,Other,More than 5 years,Regional,Remote,yes,Remote,Same level,32,Tertiary quinary,yes,yes,yes,0,0,0,0,Isolation,Job satisfaction
466,Female,Professional,200+,Couple,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Increased,40,Tertiary quaternary,yes,yes,yes,17.65,0,0,0,Technical,Professional
467,Male,Professional,200+,Couple+children,More than 5 years,Metro,Remote,yes,Hybrid,Increased,57,Tertiary quaternary,hard to say,yes,yes,6.67,100,0,0,Technical,Work-life balance
468,Male,Manager,200+,Couple,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,59,Tertiary quinary,yes,yes,yes,22.220000000000002,100,0,0,Company's policy,Work-life balance
470,Male,Professional,200+,Couple+children,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Dropped,47,Tertiary quaternary,yes,yes,yes,0,33.33,0,0,Motivation,Less expenses
472,Male,Other,20-199,Couple,Between 1 and 5 years,Metro,Hybrid,no,Hybrid,Dropped,35,Tertiary quaternary,no,hard to say,hard to say,100,0,-12.5,-12.5,Motivation,Work-life balance
473,Female,Professional,200+,Couple,More than 5 years,Metro,Remote,yes,Hybrid,Increased,64,Tertiary quaternary,yes,yes,hard to say,0,16.669999999999998,0,0,Isolation,Professional
474,Female,Professional,1-19,Couple+children,Between 1 and 5 years,Metro,Hybrid,hard to say,Hybrid,Increased,59,Tertiary quinary,hard to say,hard to say,hard to say,-11.110000000000001,0,0,0,Caring,Professional
475,Female,Other,20-199,Couple,Between 1 and 5 years,Metro,Almost onsite,yes,Hybrid,Increased,30,Tertiary quinary,no,no,no,0,100,0,0,Technical,Work-life balance
476,Female,Clerk,200+,Couple,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,61,Tertiary quinary,yes,yes,hard to say,-11.110000000000001,66.67,50,50,Impossible tasks,Less expenses
477,Female,Professional,20-199,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Same level,41,Tertiary quinary,yes,yes,hard to say,14.29,-25,0,0,Technical,Professional
478,Male,Clerk,200+,Couple+children,More than 5 years,Metro,Remote,yes,Hybrid,Increased,44,Secondary,no,no,no,14.29,50,33.33,33.33,Company's policy,Work-life balance
479,Female,Manager,200+,Single,More than 5 years,Regional,Hybrid,hard to say,Hybrid,Increased,34,Tertiary quinary,no,no,no,-33.33,0,100,100,Isolation,Mental wellbeing
480,Female,Other,1-19,Couple,More than 5 years,Metro,Almost onsite,no,Onsite,Dropped,56,Tertiary quinary,no,yes,no,-33.33,0,0,0,Isolation,Work-life balance
481,Male,Professional,200+,Couple+children,More than 5 years,Metro,Remote,yes,Hybrid,Dropped,64,Tertiary quaternary,yes,yes,hard to say,0,100,100,100,Isolation,Relationships
482,Female,Professional,20-199,Couple,More than 5 years,Metro,Remote,yes,Hybrid,Increased,28,Tertiary quaternary,yes,yes,hard to say,0,33.33,0,0,Technical,Professional
483,Male,Manager,200+,Couple,More than 5 years,Regional,Almost onsite,no,Onsite,Dropped,60,Tertiary quinary,yes,no,hard to say,0,25,0,0,Technical,Less expenses
484,Male,Manager,200+,Single,Between 1 and 5 years,Metro,Remote,yes,Remote,Increased,62,Tertiary quinary,yes,yes,yes,0,50,0,0,Isolation,Professional
485,Female,Professional,200+,Couple+children,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Increased,24,Tertiary quinary,no,yes,no,12.5,50,100,100,Technical,Professional
486,Male,Manager,200+,Couple,Between 1 and 5 years,Metro,Hybrid,hard to say,Hybrid,Dropped,56,Tertiary quinary,yes,yes,yes,12.5,33.33,33.33,33.33,Technical,Less expenses
487,Male,Clerk,200+,Other,More than 5 years,Regional,Hybrid,yes,Hybrid,Dropped,32,Tertiary quinary,no,yes,no,0,25,100,100,Self management,Job satisfaction
488,Male,Professional,200+,Couple+children,More than 5 years,Regional,Almost onsite,yes,Hybrid,Same level,47,Tertiary quinary,yes,hard to say,hard to say,0,0,0,0,Technical,Mental wellbeing
489,Female,Professional,20-199,Couple,Between 6 and 12 months,Metro,Hybrid,yes,Hybrid,Dropped,32,Tertiary quinary,yes,yes,yes,0,-62.5,0,0,Working conditions,Professional
490,Female,Professional,200+,Couple,More than 5 years,Metro,Remote,yes,Hybrid,Increased,58,Tertiary quaternary,hard to say,yes,hard to say,18.75,0,0,0,Collaboration,Professional
491,Male,Professional,200+,Couple,Between 6 and 12 months,Metro,Remote,hard to say,Onsite,Same level,32,Tertiary quaternary,yes,hard to say,hard to say,0,66.67,0,0,Collaboration,Professional
493,Male,Professional,200+,Other,Between 1 and 5 years,Metro,Hybrid,hard to say,Hybrid,Increased,31,Tertiary quaternary,yes,hard to say,yes,25,100,0,0,Collaboration,Relationships
494,Male,Professional,200+,Couple,Between 1 and 5 years,Metro,Hybrid,yes,Almost onsite,Dropped,33,Primary and Other,yes,yes,yes,12.5,50,100,100,Working conditions,Work-life balance
495,Male,Manager,200+,Couple+children,Between 1 and 5 years,Metro,Hybrid,hard to say,Onsite,Same level,35,Tertiary quinary,yes,yes,yes,20,100,50,50,Caring,Less expenses
496,Female,Professional,200+,Other,More than 5 years,Metro,Hybrid,yes,Hybrid,Same level,30,Primary and Other,yes,yes,yes,25,100,0,0,Collaboration,Less expenses
497,Female,Clerk,1-19,Couple+children,More than 5 years,Metro,Remote,yes,Remote,Same level,49,Secondary,yes,hard to say,yes,0,0,50,50,Motivation,Work-life balance
498,Male,Professional,200+,Couple,More than 5 years,Regional,Hybrid,yes,Remote,Increased,37,Secondary,yes,yes,yes,12.5,0,0,0,Technical,Professional
499,Male,Professional,20-199,Couple,Between 1 and 5 years,Regional,Hybrid,yes,Hybrid,Same level,39,Tertiary quaternary,yes,yes,yes,0,50,0,0,Technical,Professional
500,Female,Other,200+,Other,More than 5 years,Metro,Almost onsite,hard to say,Onsite,Same level,35,Tertiary quinary,no,yes,no,0,20,0,0,Impossible tasks,Less expenses
501,Female,Professional,20-199,Other,More than 5 years,Regional,Hybrid,hard to say,Hybrid,Increased,57,Secondary,no,no,hard to say,-50,50,-20,-20,Working conditions,Work-life balance
502,Male,Other,20-199,Other,More than 5 years,Metro,Hybrid,hard to say,Hybrid,Same level,54,Primary and Other,no,hard to say,no,-37.5,25,100,100,Caring,Work-life balance
503,Female,Manager,1-19,Couple+children,More than 5 years,Regional,Almost onsite,hard to say,Almost onsite,Dropped,36,Secondary,yes,no,no,-25,100,0,0,Technical,Work-life balance
504,Female,Manager,200+,Couple,More than 5 years,Metro,Hybrid,yes,Hybrid,Dropped,38,Primary and Other,yes,no,no,0,0,0,0,Motivation,Work-life balance
505,Male,Manager,20-199,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,43,Tertiary quaternary,yes,yes,yes,0,0,0,0,Working conditions,Mental wellbeing
506,Male,Professional,20-199,Single,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Increased,40,Primary and Other,hard to say,hard to say,yes,33.33,100,0,0,Collaboration,Work-life balance
507,Male,Professional,200+,Couple,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,62,Tertiary quinary,yes,yes,yes,33.33,-16.669999999999998,0,0,Isolation,Less expenses
508,Male,Manager,200+,Couple+children,More than 5 years,Regional,Remote,yes,Hybrid,Increased,38,Secondary,yes,yes,yes,25,100,0,0,Technical,Professional
509,Male,Manager,1-19,Couple,More than 5 years,Metro,Hybrid,no,Almost onsite,Same level,42,Tertiary quinary,yes,yes,yes,5,0,-50,-50,Isolation,Work-life balance
510,Male,Manager,200+,Couple,More than 5 years,Metro,Remote,yes,Hybrid,Increased,38,Tertiary quaternary,yes,yes,hard to say,44.440000000000005,-33.33,0,0,Isolation,Professional
511,Female,Clerk,200+,Couple,Between 6 and 12 months,Regional,Remote,yes,Hybrid,Increased,38,Tertiary quinary,yes,yes,yes,0,66.67,100,100,Motivation,Job satisfaction
512,Female,Clerk,20-199,Other,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Same level,28,Tertiary quinary,no,no,no,-5.88,0,0,0,Technical,Work-life balance
513,Male,Professional,200+,Single,Between 6 and 12 months,Metro,Almost onsite,hard to say,Hybrid,Same level,27,Secondary,hard to say,hard to say,hard to say,12.5,75,0,0,Collaboration,Professional
514,Female,Manager,20-199,Couple,Between 1 and 5 years,Regional,Almost onsite,yes,Hybrid,Same level,53,Tertiary quinary,no,no,no,25,-50,0,0,Company's policy,Work-life balance
515,Male,Manager,20-199,Other,Between 1 and 5 years,Metro,Almost onsite,hard to say,Hybrid,Dropped,47,Tertiary quaternary,yes,hard to say,hard to say,-44.440000000000005,50,100,100,Motivation,Less expenses
516,Female,Professional,1-19,Other,Between 6 and 12 months,Metro,Remote,yes,Hybrid,Dropped,25,Tertiary quaternary,hard to say,yes,hard to say,-17.65,0,0,0,Collaboration,Work-life balance
517,Male,Professional,200+,Couple+children,More than 5 years,Metro,Remote,yes,Hybrid,Increased,32,Tertiary quaternary,hard to say,yes,yes,28.57,100,0,0,Technical,Professional
518,Male,Manager,200+,Other,More than 5 years,Metro,Remote,yes,Hybrid,Dropped,58,Secondary,yes,yes,yes,-10,60.709999999999994,0,0,Collaboration,Work-life balance
519,Male,Other,1-19,Single,Between 1 and 5 years,Regional,Hybrid,yes,Hybrid,Same level,29,Tertiary quinary,hard to say,no,yes,0,-50,0,0,Technical,Relationships
520,Male,Manager,200+,Single,Between 6 and 12 months,Regional,Hybrid,yes,Hybrid,Same level,63,Tertiary quinary,yes,yes,yes,0,50,50,50,Technical,Work-life balance
521,Female,Clerk,1-19,Single,Between 1 and 5 years,Regional,Almost onsite,hard to say,Hybrid,Increased,33,Tertiary quinary,no,no,no,0,0,50,50,Technical,Professional
522,Female,Manager,20-199,Couple,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Increased,35,Tertiary quinary,no,yes,hard to say,-10,50,0,0,Self management,Work-life balance
524,Female,Manager,200+,Couple,More than 5 years,Metro,Hybrid,yes,Almost onsite,Same level,55,Tertiary quinary,yes,yes,yes,0,0,100,100,Collaboration,Professional
525,Male,Professional,200+,Single,More than 5 years,Metro,Remote,yes,Hybrid,Same level,42,Tertiary quaternary,yes,yes,yes,11.110000000000001,25,0,0,Isolation,Professional
526,Female,Professional,1-19,Other,More than 5 years,Metro,Hybrid,hard to say,Hybrid,Increased,54,Tertiary quinary,yes,yes,yes,-12.5,25,0,0,Technical,Professional
527,Male,Professional,200+,Couple+children,More than 5 years,Metro,Almost onsite,yes,Onsite,Dropped,52,Tertiary quinary,no,yes,no,0,50,0,0,Collaboration,Work-life balance
528,Male,Other,20-199,Couple,Between 1 and 5 years,Metro,Hybrid,hard to say,Hybrid,Same level,55,Tertiary quinary,no,no,no,0,50,0,0,Self management,Less expenses
529,Male,Manager,200+,Couple,More than 5 years,Metro,Remote,yes,Remote,Same level,43,Tertiary quaternary,yes,yes,yes,0,0,100,100,Motivation,Work-life balance
530,Male,Manager,200+,Couple+children,More than 5 years,Metro,Remote,yes,Hybrid,Increased,49,Tertiary quinary,yes,yes,yes,25,33.33,50,50,Isolation,Work-life balance
531,Male,Professional,200+,Single,More than 5 years,Metro,Almost onsite,hard to say,Almost onsite,Increased,60,Tertiary quinary,hard to say,hard to say,hard to say,0,-33.33,0,0,Technical,Relationships
533,Female,Professional,1-19,Single,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Same level,36,Tertiary quinary,yes,yes,yes,-33.33,33.33,0,0,Motivation,Work-life balance
534,Female,Manager,200+,Other,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Increased,28,Tertiary quinary,yes,no,hard to say,16.669999999999998,0,0,0,Company's policy,Work-life balance
535,Male,Manager,1-19,Couple,Between 1 and 5 years,Regional,Remote,yes,Hybrid,Increased,54,Tertiary quaternary,yes,yes,yes,11.110000000000001,0,0,0,Working conditions,Work-life balance
